 09-Mar-2015       (1.000 *bamlet_100pc.da - 1.019 *buffer_100pc.da) /  1.0000
bamlet_100pc  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  306  SCALE =  1
 r_100pc.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  306  SCALE =  1
  0.919079E-01  0.740504E-01  0.815025E-03
  0.926936E-01  0.724111E-01  0.818208E-03
  0.934793E-01  0.709404E-01  0.817565E-03
  0.942648E-01  0.669796E-01  0.599149E-02
  0.950503E-01  0.668068E-01  0.152607E-02
  0.958356E-01  0.657372E-01  0.106746E-02
  0.966209E-01  0.655525E-01  0.884259E-03
  0.974061E-01  0.652411E-01  0.789834E-03
  0.981913E-01  0.639157E-01  0.737789E-03
  0.989763E-01  0.633317E-01  0.717183E-03
  0.997612E-01  0.625262E-01  0.708977E-03
  0.100546E+00  0.613026E-01  0.707965E-03
  0.101331E+00  0.602073E-01  0.714539E-03
  0.102116E+00  0.590603E-01  0.712056E-03
  0.102900E+00  0.580321E-01  0.700961E-03
  0.103685E+00  0.571875E-01  0.689765E-03
  0.104469E+00  0.556660E-01  0.709428E-03
  0.105253E+00  0.550723E-01  0.680300E-03
  0.106038E+00  0.546949E-01  0.673629E-03
  0.106822E+00  0.533879E-01  0.666288E-03
  0.107606E+00  0.521944E-01  0.673174E-03
  0.108390E+00  0.508791E-01  0.681155E-03
  0.109174E+00  0.500983E-01  0.684302E-03
  0.109957E+00  0.491919E-01  0.682076E-03
  0.110741E+00  0.481267E-01  0.674491E-03
  0.111525E+00  0.472387E-01  0.675271E-03
  0.112308E+00  0.468012E-01  0.666944E-03
  0.113091E+00  0.454798E-01  0.667833E-03
  0.113875E+00  0.446108E-01  0.653441E-03
  0.114658E+00  0.433379E-01  0.642218E-03
  0.115441E+00  0.426323E-01  0.635443E-03
  0.116224E+00  0.422148E-01  0.633827E-03
  0.117007E+00  0.418556E-01  0.625709E-03
  0.117789E+00  0.407224E-01  0.626766E-03
  0.118572E+00  0.395629E-01  0.623633E-03
  0.119355E+00  0.387873E-01  0.631616E-03
  0.120137E+00  0.383149E-01  0.626150E-03
  0.120919E+00  0.373493E-01  0.651940E-03
  0.121702E+00  0.361225E-01  0.675154E-03
  0.122484E+00  0.356854E-01  0.674538E-03
  0.123266E+00  0.347205E-01  0.693134E-03
  0.124048E+00  0.348707E-01  0.700883E-03
  0.124829E+00  0.339110E-01  0.710895E-03
  0.125611E+00  0.324799E-01  0.739900E-03
  0.126393E+00  0.321318E-01  0.739504E-03
  0.127174E+00  0.313421E-01  0.738094E-03
  0.127956E+00  0.305745E-01  0.730333E-03
  0.128737E+00  0.298722E-01  0.717712E-03
  0.129518E+00  0.294784E-01  0.728789E-03
  0.130299E+00  0.288708E-01  0.816064E-03
  0.131080E+00  0.277521E-01  0.801221E-03
  0.131861E+00  0.267335E-01  0.839626E-03
  0.132641E+00  0.271152E-01  0.801792E-03
  0.133422E+00  0.278679E-01  0.612276E-03
  0.134202E+00  0.275811E-01  0.494353E-03
  0.134292E+00  0.257712E-01  0.398184E-03
  0.138265E+00  0.231568E-01  0.403590E-03
  0.142234E+00  0.203459E-01  0.400832E-03
  0.146201E+00  0.182832E-01  0.365349E-03
  0.150164E+00  0.160911E-01  0.362625E-03
  0.154124E+00  0.142672E-01  0.384263E-03
  0.158081E+00  0.116298E-01  0.377298E-03
  0.162033E+00  0.107565E-01  0.383842E-03
  0.165983E+00  0.929698E-02  0.385925E-03
  0.169928E+00  0.816747E-02  0.393861E-03
  0.173870E+00  0.755156E-02  0.373542E-03
  0.177808E+00  0.654916E-02  0.366174E-03
  0.181742E+00  0.561231E-02  0.382049E-03
  0.185672E+00  0.462003E-02  0.354654E-03
  0.189597E+00  0.426770E-02  0.361239E-03
  0.193519E+00  0.348347E-02  0.348691E-03
  0.197436E+00  0.201135E-02  0.363596E-03
  0.201349E+00  0.200768E-02  0.358100E-03
  0.205257E+00  0.211571E-02  0.350018E-03
  0.209161E+00  0.210435E-02  0.353908E-03
  0.213061E+00  0.141598E-02  0.352560E-03
  0.216955E+00  0.116713E-02  0.348969E-03
  0.220845E+00  0.139216E-02  0.356990E-03
  0.224730E+00  0.113441E-02  0.333469E-03
  0.228610E+00  0.744337E-03  0.334995E-03
  0.232486E+00  0.700048E-03  0.338480E-03
  0.236356E+00  0.852584E-03  0.347983E-03
  0.240221E+00  0.278058E-03  0.335238E-03
  0.244080E+00  0.349594E-03  0.328021E-03
  0.247935E+00  0.502421E-03  0.338356E-03
  0.251784E+00  0.974931E-04  0.329240E-03
  0.255628E+00  0.300377E-03  0.328256E-03
  0.259466E+00  0.311988E-03  0.332371E-03
  0.263299E+00  0.344273E-03  0.325445E-03
  0.267126E+00 -0.303844E-04  0.327560E-03
  0.270948E+00 -0.232160E-05  0.337285E-03
  0.274763E+00 -0.650434E-04  0.319698E-03
  0.278573E+00  0.188243E-03  0.311924E-03
  0.282377E+00  0.231282E-03  0.333852E-03
  0.286175E+00 -0.135283E-03  0.322242E-03
  0.289967E+00 -0.205017E-03  0.321773E-03
  0.293753E+00 -0.378425E-03  0.316289E-03
  0.297533E+00  0.192441E-03  0.309545E-03
  0.301307E+00  0.386890E-03  0.325655E-03
  0.305074E+00 -0.291443E-04  0.310563E-03
  0.308835E+00  0.160190E-03  0.314183E-03
  0.312590E+00  0.299633E-03  0.304782E-03
  0.316338E+00  0.255183E-03  0.293849E-03
  0.320079E+00  0.185585E-03  0.306436E-03
  0.323814E+00 -0.362612E-04  0.320102E-03
  0.327543E+00 -0.324796E-03  0.319680E-03
  0.331264E+00 -0.147992E-03  0.317033E-03
  0.334979E+00  0.299288E-03  0.301467E-03
  0.338687E+00  0.306787E-03  0.293835E-03
  0.342389E+00  0.418524E-03  0.294783E-03
  0.346083E+00  0.260810E-03  0.306410E-03
  0.349771E+00  0.205497E-04  0.306932E-03
  0.353451E+00  0.251657E-03  0.308227E-03
  0.357124E+00  0.743394E-04  0.291423E-03
  0.360790E+00  0.322657E-03  0.289916E-03
  0.364449E+00 -0.165770E-03  0.293585E-03
  0.368101E+00  0.326709E-04  0.290925E-03
  0.371746E+00 -0.183140E-05  0.306826E-03
  0.375383E+00 -0.632305E-04  0.327081E-03
  0.379013E+00  0.137908E-04  0.321283E-03
  0.382635E+00 -0.540365E-04  0.323736E-03
  0.386250E+00  0.153077E-03  0.339336E-03
  0.389858E+00 -0.289975E-03  0.353567E-03
  0.393457E+00 -0.334176E-03  0.368213E-03
  0.397050E+00 -0.269454E-03  0.365292E-03
  0.400634E+00  0.122222E-03  0.359888E-03
  0.404211E+00  0.135109E-03  0.355462E-03
  0.407780E+00 -0.151454E-03  0.367128E-03
  0.411342E+00 -0.608952E-04  0.372042E-03
  0.414895E+00 -0.262568E-03  0.384042E-03
  0.418441E+00 -0.691600E-04  0.383815E-03
  0.421979E+00  0.140116E-03  0.376538E-03
  0.425509E+00 -0.174811E-03  0.382556E-03
  0.429031E+00  0.262213E-03  0.373044E-03
  0.432545E+00  0.285265E-03  0.395798E-03
  0.436051E+00  0.228212E-03  0.398449E-03
  0.439549E+00  0.258355E-03  0.394328E-03
  0.443038E+00  0.409464E-03  0.396330E-03
  0.446520E+00  0.220742E-03  0.388645E-03
  0.449993E+00 -0.265455E-03  0.385075E-03
  0.453458E+00 -0.210886E-03  0.367626E-03
  0.456915E+00  0.181928E-03  0.389214E-03
  0.460364E+00 -0.157223E-03  0.382984E-03
  0.463804E+00  0.943893E-04  0.375162E-03
  0.467236E+00  0.143445E-03  0.400807E-03
  0.470660E+00  0.528835E-03  0.397864E-03
  0.474075E+00  0.390100E-03  0.388712E-03
  0.477482E+00 -0.188379E-03  0.394687E-03
  0.480880E+00 -0.364782E-03  0.396800E-03
  0.484270E+00 -0.536447E-03  0.407395E-03
  0.487652E+00 -0.354522E-03  0.387347E-03
  0.491024E+00 -0.396334E-03  0.379817E-03
  0.494389E+00  0.324107E-03  0.384763E-03
  0.497744E+00 -0.160825E-03  0.397055E-03
  0.501091E+00 -0.321110E-03  0.402612E-03
  0.504430E+00  0.465361E-03  0.402764E-03
  0.507760E+00  0.215286E-04  0.388380E-03
  0.511081E+00 -0.688511E-03  0.397557E-03
  0.514393E+00 -0.359074E-03  0.388826E-03
  0.517697E+00 -0.293529E-03  0.390770E-03
  0.520992E+00 -0.116097E-03  0.400586E-03
  0.524278E+00 -0.274512E-04  0.409943E-03
  0.527556E+00 -0.653010E-03  0.407406E-03
  0.530825E+00 -0.283171E-03  0.397045E-03
  0.534084E+00 -0.217018E-03  0.398944E-03
  0.537336E+00 -0.894960E-04  0.410876E-03
  0.540578E+00 -0.399692E-03  0.398775E-03
  0.543811E+00  0.280541E-03  0.412765E-03
  0.547036E+00 -0.141228E-04  0.412554E-03
  0.550251E+00 -0.652705E-03  0.397633E-03
  0.553458E+00 -0.427784E-03  0.406900E-03
  0.556656E+00 -0.480430E-04  0.401133E-03
  0.559845E+00 -0.467365E-03  0.399362E-03
  0.563025E+00  0.111100E-04  0.383766E-03
  0.566196E+00 -0.107744E-03  0.402517E-03
  0.569358E+00 -0.147463E-03  0.435125E-03
  0.572511E+00 -0.677869E-03  0.468266E-03
  0.575655E+00 -0.449529E-03  0.488647E-03
  0.578791E+00  0.111325E-03  0.481166E-03
  0.581917E+00 -0.232415E-03  0.512566E-03
  0.585034E+00 -0.205299E-03  0.513103E-03
  0.588142E+00  0.133469E-04  0.553744E-03
  0.591242E+00 -0.589632E-04  0.580855E-03
  0.594332E+00  0.492400E-05  0.648246E-03
  0.597413E+00  0.384067E-03  0.632868E-03
  0.600485E+00  0.703381E-04  0.585959E-03
  0.603548E+00 -0.191815E-04  0.648143E-03
  0.606602E+00  0.178044E-04  0.633579E-03
  0.609647E+00  0.404690E-03  0.735876E-03
  0.612683E+00 -0.340166E-03  0.709746E-03
  0.615710E+00 -0.540861E-03  0.787421E-03
  0.618728E+00 -0.712388E-03  0.862339E-03
  0.621737E+00 -0.497691E-03  0.857522E-03
  0.624737E+00 -0.613915E-03  0.942103E-03
  0.627728E+00 -0.879594E-03  0.100772E-02
  0.630710E+00  0.109782E-02  0.102163E-02
  0.633682E+00 -0.663674E-03  0.122145E-02
  0.636646E+00 -0.118531E-02  0.133212E-02
  0.639601E+00  0.656655E-03  0.175399E-02
  0.642546E+00  0.293404E-02  0.190905E-02
  0.645483E+00 -0.109145E-03  0.347436E-02
----------C:\Users\emmar\Emma\analysis_BAMLET_SANS_paper_mar2015\SANS_data_merge_these_files\bamlet_100pc_sub\bamlet_100pc.dat-----------------------------
 Merge of: bamlet_100pc bamlet_100pc                                            
bamlet_100pc  Conc = .10E+01  Mult = .59E+01  N1 =   25  N2 =  180  SCALE =  1  
bamlet_100pc  Conc = .10E+01  Mult = .10E+01  N1 =   12  N2 =  171  SCALE =  1  
----------C:\Users\emmar\Emma\analysis_BAMLET_SANS_paper_mar2015\SANS_data_merge_these_files\bamlet_100pc_sub\buffer_100pc.dat-----------------------------
 Merge of: buffer_100pc buffer_100pc                                            
buffer_100pc  Conc = .10E+01  Mult = .59E+01  N1 =   25  N2 =  180  SCALE =  1  
buffer_100pc  Conc = .10E+01  Mult = .10E+01  N1 =   12  N2 =  171  SCALE =  1  
