 18-Sep-2016       (1.000 *bam1o20_0p25mg_ - 1.001 *bam1o20_buffer_) /  1.0000
bam1o20_0p25  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.998335E-01  0.172563E-02  0.100362E-02
  0.100565E+00  0.264693E-02  0.101055E-02
  0.101296E+00  0.160861E-02  0.100758E-02
  0.102027E+00  0.536870E-03  0.100042E-02
  0.102758E+00  0.257820E-02  0.100353E-02
  0.103490E+00  0.112811E-02  0.988400E-03
  0.104221E+00  0.210870E-02  0.946988E-03
  0.104952E+00  0.871323E-03  0.942665E-03
  0.105683E+00  0.256604E-02  0.923749E-03
  0.106414E+00  0.156744E-02  0.918707E-03
  0.107146E+00  0.148920E-02  0.932901E-03
  0.107877E+00  0.177633E-02  0.916168E-03
  0.108608E+00  0.248048E-02  0.905577E-03
  0.109339E+00  0.115180E-02  0.910147E-03
  0.110070E+00  0.956291E-03  0.892087E-03
  0.110802E+00  0.987286E-03  0.897164E-03
  0.111533E+00  0.656557E-03  0.897762E-03
  0.112264E+00  0.133463E-02  0.900634E-03
  0.112995E+00  0.144946E-02  0.881607E-03
  0.113726E+00  0.570605E-04  0.883623E-03
  0.114457E+00  0.207204E-03  0.887336E-03
  0.115189E+00  0.469466E-03  0.857392E-03
  0.115920E+00  0.993614E-03  0.866515E-03
  0.116651E+00 -0.410067E-04  0.871783E-03
  0.117382E+00  0.961306E-03  0.869412E-03
  0.118113E+00  0.965357E-03  0.873279E-03
  0.118844E+00  0.780702E-03  0.866691E-03
  0.119576E+00  0.654209E-03  0.856940E-03
  0.120307E+00  0.492001E-03  0.854136E-03
  0.121038E+00  0.357514E-03  0.858155E-03
  0.121769E+00  0.731843E-03  0.862635E-03
  0.122500E+00  0.375736E-03  0.843134E-03
  0.123231E+00  0.533145E-03  0.837456E-03
  0.123962E+00  0.351324E-03  0.827910E-03
  0.124693E+00  0.562628E-03  0.820626E-03
  0.125425E+00  0.230929E-04  0.813718E-03
  0.126156E+00  0.406346E-03  0.818827E-03
  0.126887E+00  0.408711E-03  0.823005E-03
  0.127618E+00  0.722713E-03  0.827440E-03
  0.128349E+00  0.120989E-02  0.825781E-03
  0.129080E+00 -0.979229E-04  0.812528E-03
  0.129811E+00  0.560790E-05  0.818343E-03
  0.130542E+00  0.755077E-03  0.796373E-03
  0.131273E+00  0.689996E-03  0.796457E-03
  0.132004E+00  0.127061E-02  0.823802E-03
  0.132735E+00 -0.438547E-03  0.790979E-03
  0.133466E+00  0.355997E-03  0.793699E-03
  0.134197E+00  0.162605E-02  0.792252E-03
  0.134929E+00  0.480433E-03  0.784422E-03
  0.135660E+00  0.488610E-03  0.781768E-03
  0.136391E+00  0.707383E-03  0.773512E-03
  0.137122E+00  0.909869E-03  0.755821E-03
  0.137853E+00  0.133090E-02  0.780419E-03
  0.138584E+00  0.808034E-03  0.778020E-03
  0.139315E+00  0.268048E-03  0.756529E-03
  0.140046E+00  0.719591E-03  0.751333E-03
  0.140777E+00 -0.127364E-03  0.774144E-03
  0.141508E+00  0.132913E-02  0.763699E-03
  0.142239E+00  0.452063E-03  0.771875E-03
  0.142970E+00  0.944988E-03  0.765096E-03
  0.143701E+00  0.619527E-03  0.737773E-03
  0.144432E+00  0.136326E-02  0.758139E-03
  0.145163E+00  0.534907E-03  0.755679E-03
  0.145894E+00  0.532429E-04  0.759150E-03
  0.146625E+00  0.441941E-03  0.754746E-03
  0.147356E+00  0.935327E-03  0.753798E-03
  0.148087E+00  0.108480E-02  0.750236E-03
  0.148818E+00  0.102181E-02  0.732070E-03
  0.149549E+00  0.513451E-03  0.731598E-03
  0.150280E+00  0.118056E-02  0.740555E-03
  0.151011E+00  0.867896E-03  0.736215E-03
  0.151741E+00  0.118996E-02  0.730650E-03
  0.152472E+00  0.413442E-03  0.727967E-03
  0.153203E+00  0.138202E-02  0.722214E-03
  0.153934E+00  0.939630E-03  0.731720E-03
  0.154665E+00  0.793876E-03  0.734299E-03
  0.155396E+00  0.135757E-02  0.725371E-03
  0.156127E+00  0.106740E-02  0.731433E-03
  0.156858E+00  0.123937E-02  0.722150E-03
  0.157589E+00  0.119289E-02  0.719540E-03
  0.158320E+00  0.108058E-02  0.720253E-03
  0.159051E+00  0.158454E-02  0.715107E-03
  0.159782E+00  0.458562E-03  0.725640E-03
  0.160512E+00  0.183253E-03  0.705816E-03
