 18-Sep-2016       (1.000 *bam1o20_1mg_avg - 1.005 *bam1o20_buffer_) /  1.0000
bam1o20_1mg_  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.113375E-01  0.113694E+00  0.934789E-02
  0.120690E-01  0.113195E+00  0.536399E-02
  0.128004E-01  0.113890E+00  0.454309E-02
  0.135319E-01  0.115450E+00  0.403878E-02
  0.142633E-01  0.110508E+00  0.368105E-02
  0.149948E-01  0.110997E+00  0.331399E-02
  0.157262E-01  0.108562E+00  0.305083E-02
  0.164577E-01  0.111794E+00  0.296535E-02
  0.171891E-01  0.113159E+00  0.292771E-02
  0.179206E-01  0.110847E+00  0.280360E-02
  0.186520E-01  0.107127E+00  0.263732E-02
  0.193835E-01  0.105816E+00  0.257902E-02
  0.201149E-01  0.106189E+00  0.249458E-02
  0.208464E-01  0.102327E+00  0.249333E-02
  0.215778E-01  0.106126E+00  0.238438E-02
  0.223093E-01  0.101775E+00  0.236222E-02
  0.230407E-01  0.104063E+00  0.230254E-02
  0.237721E-01  0.980355E-01  0.230093E-02
  0.245036E-01  0.102249E+00  0.221069E-02
  0.252350E-01  0.100991E+00  0.218284E-02
  0.259665E-01  0.993873E-01  0.216454E-02
  0.266979E-01  0.974166E-01  0.208315E-02
  0.274293E-01  0.967425E-01  0.217086E-02
  0.281608E-01  0.968138E-01  0.197077E-02
  0.288922E-01  0.932555E-01  0.196877E-02
  0.296237E-01  0.934489E-01  0.202764E-02
  0.303551E-01  0.921877E-01  0.197317E-02
  0.310865E-01  0.902592E-01  0.195839E-02
  0.318180E-01  0.904037E-01  0.191392E-02
  0.325494E-01  0.875696E-01  0.207427E-02
  0.332808E-01  0.886935E-01  0.187202E-02
  0.340123E-01  0.871290E-01  0.173283E-02
  0.347437E-01  0.871703E-01  0.179655E-02
  0.354751E-01  0.862586E-01  0.175380E-02
  0.362065E-01  0.837342E-01  0.172387E-02
  0.369380E-01  0.827375E-01  0.176707E-02
  0.376694E-01  0.818846E-01  0.166862E-02
  0.384008E-01  0.818602E-01  0.168176E-02
  0.391322E-01  0.791253E-01  0.166958E-02
  0.398636E-01  0.789821E-01  0.163416E-02
  0.405951E-01  0.754500E-01  0.164248E-02
  0.413265E-01  0.749266E-01  0.157128E-02
  0.420579E-01  0.751482E-01  0.159537E-02
  0.427893E-01  0.715112E-01  0.157492E-02
  0.435207E-01  0.712893E-01  0.153642E-02
  0.442521E-01  0.702564E-01  0.158937E-02
  0.449836E-01  0.687476E-01  0.153324E-02
  0.457150E-01  0.681513E-01  0.153365E-02
  0.464464E-01  0.681855E-01  0.142436E-02
  0.471778E-01  0.669867E-01  0.148035E-02
  0.479092E-01  0.653094E-01  0.145613E-02
  0.486406E-01  0.627097E-01  0.144672E-02
  0.493720E-01  0.631315E-01  0.142982E-02
  0.501034E-01  0.626816E-01  0.138685E-02
  0.508348E-01  0.599584E-01  0.142223E-02
  0.515662E-01  0.593911E-01  0.142869E-02
  0.522976E-01  0.585721E-01  0.139213E-02
  0.530290E-01  0.562014E-01  0.140231E-02
  0.537604E-01  0.567537E-01  0.142011E-02
  0.544917E-01  0.546958E-01  0.142357E-02
  0.552231E-01  0.528366E-01  0.144153E-02
  0.559545E-01  0.520251E-01  0.145522E-02
  0.566859E-01  0.504347E-01  0.147443E-02
  0.574173E-01  0.478150E-01  0.155121E-02
  0.581487E-01  0.490003E-01  0.149884E-02
  0.588800E-01  0.466478E-01  0.151782E-02
  0.596114E-01  0.467627E-01  0.149656E-02
  0.603428E-01  0.442752E-01  0.147555E-02
  0.610742E-01  0.418195E-01  0.151037E-02
  0.618055E-01  0.408210E-01  0.143433E-02
  0.625369E-01  0.402446E-01  0.143064E-02
  0.632683E-01  0.416353E-01  0.142656E-02
  0.639996E-01  0.385527E-01  0.141185E-02
  0.647310E-01  0.389242E-01  0.140643E-02
  0.654624E-01  0.367660E-01  0.135172E-02
  0.661937E-01  0.348583E-01  0.134271E-02
  0.669251E-01  0.354788E-01  0.128634E-02
  0.676564E-01  0.332343E-01  0.129208E-02
  0.683878E-01  0.337016E-01  0.125536E-02
  0.691191E-01  0.314928E-01  0.123482E-02
  0.698505E-01  0.310537E-01  0.123255E-02
  0.705818E-01  0.293146E-01  0.123503E-02
  0.713132E-01  0.291362E-01  0.120773E-02
  0.720445E-01  0.280659E-01  0.120743E-02
  0.727759E-01  0.274572E-01  0.119010E-02
  0.735072E-01  0.256956E-01  0.117664E-02
  0.742385E-01  0.259501E-01  0.115649E-02
  0.749699E-01  0.243769E-01  0.115609E-02
  0.757012E-01  0.238490E-01  0.114186E-02
  0.764325E-01  0.229113E-01  0.114091E-02
  0.771638E-01  0.232882E-01  0.112487E-02
  0.778952E-01  0.211802E-01  0.108473E-02
  0.786265E-01  0.201658E-01  0.109001E-02
  0.793578E-01  0.200378E-01  0.107448E-02
  0.800891E-01  0.179505E-01  0.108377E-02
  0.808204E-01  0.174793E-01  0.104821E-02
  0.815517E-01  0.178431E-01  0.105786E-02
  0.822830E-01  0.172919E-01  0.104730E-02
  0.830143E-01  0.157580E-01  0.104107E-02
  0.837456E-01  0.156136E-01  0.102793E-02
  0.844769E-01  0.165563E-01  0.102363E-02
  0.852082E-01  0.144393E-01  0.103272E-02
  0.859395E-01  0.136915E-01  0.102133E-02
  0.866708E-01  0.130337E-01  0.101814E-02
  0.874021E-01  0.129458E-01  0.101715E-02
  0.881334E-01  0.123622E-01  0.996720E-03
