 18-Sep-2016       (1.000 *bam1o20_4mg_avg - 1.026 *bam1o20_buffer_) /  1.0000
bam1o20_4mg_  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.113375E-01  0.373224E+00  0.113349E-01
  0.120690E-01  0.366136E+00  0.689054E-02
  0.128004E-01  0.358773E+00  0.587223E-02
  0.135319E-01  0.357552E+00  0.494833E-02
  0.142633E-01  0.362141E+00  0.470379E-02
  0.149948E-01  0.358219E+00  0.432640E-02
  0.157262E-01  0.359216E+00  0.397741E-02
  0.164577E-01  0.358418E+00  0.377222E-02
  0.171891E-01  0.358275E+00  0.379591E-02
  0.179206E-01  0.357107E+00  0.358283E-02
  0.186520E-01  0.358553E+00  0.336943E-02
  0.193835E-01  0.354696E+00  0.330939E-02
  0.201149E-01  0.353724E+00  0.322308E-02
  0.208464E-01  0.349315E+00  0.320040E-02
  0.215778E-01  0.349936E+00  0.310237E-02
  0.223093E-01  0.346823E+00  0.302167E-02
  0.230407E-01  0.346391E+00  0.300367E-02
  0.237721E-01  0.342412E+00  0.299625E-02
  0.245036E-01  0.341608E+00  0.282171E-02
  0.252350E-01  0.337431E+00  0.287788E-02
  0.259665E-01  0.337983E+00  0.280939E-02
  0.266979E-01  0.335946E+00  0.275606E-02
  0.274293E-01  0.334289E+00  0.274419E-02
  0.281608E-01  0.333114E+00  0.256475E-02
  0.288922E-01  0.328505E+00  0.257267E-02
  0.296237E-01  0.327705E+00  0.262265E-02
  0.303551E-01  0.323382E+00  0.255272E-02
  0.310865E-01  0.322963E+00  0.250831E-02
  0.318180E-01  0.319251E+00  0.243350E-02
  0.325494E-01  0.313194E+00  0.279675E-02
  0.332808E-01  0.315677E+00  0.240257E-02
  0.340123E-01  0.313687E+00  0.224840E-02
  0.347437E-01  0.309609E+00  0.229336E-02
  0.354751E-01  0.306362E+00  0.224522E-02
  0.362065E-01  0.302713E+00  0.222417E-02
  0.369380E-01  0.299341E+00  0.223333E-02
  0.376694E-01  0.295706E+00  0.211730E-02
  0.384008E-01  0.292247E+00  0.216151E-02
  0.391322E-01  0.289313E+00  0.213848E-02
  0.398636E-01  0.287472E+00  0.209072E-02
  0.405951E-01  0.279892E+00  0.210731E-02
  0.413265E-01  0.278906E+00  0.202350E-02
