 09-Mar-2015       (1.000 *bamlet_80pc.dat - 0.981 *buffer_80pc.dat) /  1.0000
bamlet_80pc.  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  302  SCALE =  1
 er_80pc.dat  Conc = .10E+01  Mult = .98E+00  N1 =    1  N2 =  302  SCALE =  1
  0.909052E-02  0.156890E+00  0.671399E-02
  0.988097E-02  0.153830E+00  0.542427E-02
  0.106714E-01  0.142989E+00  0.455907E-02
  0.114618E-01  0.140829E+00  0.398262E-02
  0.122522E-01  0.136417E+00  0.364740E-02
  0.130427E-01  0.128976E+00  0.345866E-02
  0.138330E-01  0.126244E+00  0.342231E-02
  0.146234E-01  0.120885E+00  0.354312E-02
  0.154138E-01  0.116802E+00  0.332143E-02
  0.162042E-01  0.118415E+00  0.309420E-02
  0.169945E-01  0.114969E+00  0.293840E-02
  0.177848E-01  0.116843E+00  0.299032E-02
  0.185751E-01  0.110442E+00  0.276041E-02
  0.193654E-01  0.112339E+00  0.283134E-02
  0.201557E-01  0.110947E+00  0.276908E-02
  0.209460E-01  0.109575E+00  0.260316E-02
  0.217362E-01  0.109630E+00  0.279325E-02
  0.225264E-01  0.104922E+00  0.269699E-02
  0.233166E-01  0.104037E+00  0.264697E-02
  0.241068E-01  0.996859E-01  0.259710E-02
  0.248970E-01  0.101511E+00  0.248619E-02
  0.256871E-01  0.993666E-01  0.245809E-02
  0.264772E-01  0.961426E-01  0.247016E-02
  0.272673E-01  0.953375E-01  0.246055E-02
  0.280574E-01  0.990708E-01  0.230969E-02
  0.288474E-01  0.100043E+00  0.231356E-02
  0.296374E-01  0.944710E-01  0.231619E-02
  0.304274E-01  0.949405E-01  0.244242E-02
  0.312174E-01  0.948620E-01  0.237819E-02
  0.320073E-01  0.924998E-01  0.231727E-02
  0.327972E-01  0.928203E-01  0.243702E-02
  0.335871E-01  0.945070E-01  0.238422E-02
  0.343769E-01  0.919057E-01  0.229743E-02
  0.351667E-01  0.935535E-01  0.230102E-02
  0.359565E-01  0.913794E-01  0.221970E-02
  0.367463E-01  0.905366E-01  0.232971E-02
  0.375360E-01  0.923181E-01  0.217083E-02
  0.383257E-01  0.911593E-01  0.217056E-02
  0.391153E-01  0.885735E-01  0.219317E-02
  0.399049E-01  0.865434E-01  0.220782E-02
  0.406945E-01  0.882971E-01  0.227641E-02
  0.414841E-01  0.887580E-01  0.225930E-02
  0.422736E-01  0.886710E-01  0.225777E-02
  0.430631E-01  0.880769E-01  0.226750E-02
  0.438525E-01  0.849828E-01  0.218691E-02
  0.446419E-01  0.840113E-01  0.220015E-02
  0.454312E-01  0.840321E-01  0.211956E-02
  0.462205E-01  0.835186E-01  0.217536E-02
  0.470098E-01  0.836186E-01  0.208933E-02
  0.477990E-01  0.845809E-01  0.199972E-02
  0.485882E-01  0.818484E-01  0.208124E-02
  0.493774E-01  0.810115E-01  0.208785E-02
  0.501665E-01  0.788186E-01  0.212878E-02
  0.509555E-01  0.780896E-01  0.213147E-02
  0.517446E-01  0.807838E-01  0.203880E-02
  0.525335E-01  0.784794E-01  0.201539E-02
  0.533224E-01  0.749691E-01  0.198643E-02
  0.541113E-01  0.757092E-01  0.206933E-02
  0.549001E-01  0.747478E-01  0.196968E-02
  0.556889E-01  0.750732E-01  0.192228E-02
  0.564776E-01  0.757833E-01  0.191981E-02
  0.572663E-01  0.731550E-01  0.199738E-02
