  0.580549E-01  0.746695E-01  0.191195E-02
  0.588435E-01  0.738017E-01  0.186749E-02
  0.596320E-01  0.727408E-01  0.196528E-02
  0.604205E-01  0.694776E-01  0.192273E-02
  0.612089E-01  0.685032E-01  0.191863E-02
  0.619973E-01  0.669870E-01  0.183604E-02
  0.627856E-01  0.688350E-01  0.190527E-02
  0.635738E-01  0.676136E-01  0.190412E-02
  0.643620E-01  0.654237E-01  0.190010E-02
  0.651502E-01  0.664445E-01  0.191470E-02
  0.659382E-01  0.662521E-01  0.180082E-02
  0.667263E-01  0.663583E-01  0.183432E-02
  0.675142E-01  0.646798E-01  0.187100E-02
  0.683021E-01  0.599698E-01  0.181756E-02
  0.690900E-01  0.605754E-01  0.192185E-02
  0.698777E-01  0.636155E-01  0.177869E-02
  0.706655E-01  0.609247E-01  0.182861E-02
  0.714531E-01  0.610252E-01  0.180279E-02
  0.722407E-01  0.607801E-01  0.172457E-02
  0.730282E-01  0.631756E-01  0.171103E-02
  0.738157E-01  0.596278E-01  0.174149E-02
  0.746031E-01  0.565022E-01  0.174540E-02
  0.753904E-01  0.571681E-01  0.173049E-02
  0.761777E-01  0.569925E-01  0.185277E-02
  0.769649E-01  0.544047E-01  0.191871E-02
  0.777520E-01  0.541881E-01  0.199120E-02
  0.785391E-01  0.538400E-01  0.208624E-02
  0.793261E-01  0.526518E-01  0.207959E-02
  0.801130E-01  0.546111E-01  0.205042E-02
  0.808998E-01  0.519699E-01  0.223477E-02
  0.816866E-01  0.524254E-01  0.223079E-02
  0.824733E-01  0.490918E-01  0.219654E-02
  0.832600E-01  0.515380E-01  0.218067E-02
  0.840465E-01  0.503431E-01  0.219536E-02
  0.848330E-01  0.475091E-01  0.225334E-02
  0.856194E-01  0.434938E-01  0.219553E-02
  0.864058E-01  0.440843E-01  0.220162E-02
  0.871920E-01  0.463038E-01  0.204509E-02
  0.879782E-01  0.446393E-01  0.217794E-02
  0.887643E-01  0.444433E-01  0.216116E-02
  0.895503E-01  0.475025E-01  0.226536E-02
  0.903363E-01  0.429039E-01  0.219508E-02
  0.911221E-01  0.416194E-01  0.226818E-02
  0.919079E-01  0.440563E-01  0.234201E-02
  0.926936E-01  0.427486E-01  0.212535E-02
  0.934793E-01  0.407157E-01  0.221381E-02
  0.942648E-01  0.370396E-01  0.144954E-01
  0.950503E-01  0.376642E-01  0.371796E-02
  0.958356E-01  0.390193E-01  0.261786E-02
  0.966209E-01  0.370673E-01  0.219659E-02
  0.974061E-01  0.358265E-01  0.199579E-02
  0.981913E-01  0.376348E-01  0.181718E-02
  0.989763E-01  0.368611E-01  0.179055E-02
  0.997612E-01  0.353651E-01  0.181905E-02
  0.100546E+00  0.347935E-01  0.179254E-02
  0.101331E+00  0.335020E-01  0.177901E-02
  0.102116E+00  0.334960E-01  0.176898E-02
  0.102900E+00  0.345145E-01  0.178548E-02
  0.103685E+00  0.346521E-01  0.177511E-02
  0.104469E+00  0.331393E-01  0.176871E-02
  0.105253E+00  0.322731E-01  0.176744E-02
  0.106038E+00  0.326002E-01  0.171943E-02
  0.106822E+00  0.335575E-01  0.170813E-02
  0.107606E+00  0.305955E-01  0.174734E-02
  0.108390E+00  0.293031E-01  0.175207E-02
  0.109174E+00  0.306553E-01  0.174488E-02
  0.109957E+00  0.301551E-01  0.173088E-02
  0.110741E+00  0.278432E-01  0.172943E-02
  0.111525E+00  0.270930E-01  0.172706E-02
  0.112308E+00  0.262283E-01  0.175944E-02
  0.113091E+00  0.263834E-01  0.168503E-02
  0.113875E+00  0.269790E-01  0.168506E-02
  0.114658E+00  0.267265E-01  0.168620E-02
  0.115441E+00  0.250248E-01  0.167950E-02
  0.116224E+00  0.241827E-01  0.171316E-02
  0.117007E+00  0.246987E-01  0.169626E-02
  0.117789E+00  0.230052E-01  0.168232E-02
  0.118572E+00  0.223141E-01  0.171058E-02
  0.119355E+00  0.248963E-01  0.168886E-02
  0.120137E+00  0.232156E-01  0.172463E-02
  0.120919E+00  0.218922E-01  0.177385E-02
  0.121702E+00  0.217694E-01  0.181982E-02
  0.122484E+00  0.207519E-01  0.182680E-02
  0.123266E+00  0.193132E-01  0.186500E-02
  0.124048E+00  0.190538E-01  0.187535E-02
  0.124829E+00  0.209167E-01  0.185912E-02
  0.125611E+00  0.199270E-01  0.186112E-02
  0.126393E+00  0.200856E-01  0.189837E-02
  0.127174E+00  0.192427E-01  0.197964E-02
  0.127956E+00  0.195310E-01  0.207251E-02
  0.128737E+00  0.198989E-01  0.210344E-02
  0.129518E+00  0.203221E-01  0.174480E-02
  0.130299E+00  0.201487E-01  0.133652E-02
  0.130316E+00  0.182605E-01  0.102841E-02
  0.134292E+00  0.164503E-01  0.100961E-02
  0.138265E+00  0.135155E-01  0.101963E-02
  0.142234E+00  0.115451E-01  0.100662E-02
  0.146201E+00  0.116193E-01  0.980377E-03
  0.150164E+00  0.970324E-02  0.101162E-02
  0.154124E+00  0.857281E-02  0.970952E-03
  0.158081E+00  0.906746E-02  0.993412E-03
  0.162033E+00  0.816433E-02  0.102938E-02
  0.165983E+00  0.655607E-02  0.100429E-02
  0.169928E+00  0.445917E-02  0.100525E-02
  0.173870E+00  0.463365E-02  0.972014E-03
  0.177808E+00  0.418159E-02  0.990487E-03
  0.181742E+00  0.369573E-02  0.999287E-03
  0.185672E+00  0.311018E-02  0.958621E-03
  0.189597E+00  0.259816E-02  0.953688E-03
  0.193519E+00  0.178454E-02  0.938944E-03
  0.197436E+00  0.281345E-02  0.996473E-03
  0.201349E+00  0.242065E-02  0.970213E-03
  0.205257E+00  0.240244E-02  0.912367E-03
  0.209161E+00 -0.177720E-03  0.917017E-03
  0.213061E+00  0.227498E-02  0.923083E-03
  0.216955E+00  0.191445E-02  0.932872E-03
  0.220845E+00  0.134976E-02  0.944702E-03
  0.224730E+00  0.250990E-02  0.904038E-03
  0.228610E+00  0.105391E-02  0.885262E-03
  0.232486E+00  0.161421E-02  0.928229E-03
  0.236356E+00  0.109807E-02  0.919577E-03
  0.240221E+00  0.566953E-03  0.887061E-03
  0.244080E+00  0.130360E-02  0.888417E-03
  0.247935E+00  0.940161E-03  0.889312E-03
  0.251784E+00 -0.155886E-03  0.838439E-03
  0.255628E+00 -0.158798E-03  0.895789E-03
  0.259466E+00  0.161551E-02  0.879908E-03
  0.263299E+00  0.158698E-02  0.856219E-03
  0.267126E+00  0.104159E-02  0.887541E-03
  0.270948E+00  0.932620E-04  0.919305E-03
  0.274763E+00  0.435200E-03  0.880578E-03
  0.278573E+00  0.300486E-03  0.855499E-03
  0.282377E+00 -0.709525E-03  0.902967E-03
  0.286175E+00  0.312906E-03  0.862978E-03
  0.289967E+00  0.239841E-03  0.870578E-03
  0.293753E+00  0.379508E-03  0.868557E-03
  0.297533E+00  0.810953E-03  0.856899E-03
  0.301307E+00  0.125429E-02  0.846141E-03
  0.305074E+00  0.570842E-03  0.833715E-03
  0.308835E+00 -0.655705E-03  0.813796E-03
  0.312590E+00 -0.396143E-03  0.849080E-03
  0.316338E+00  0.753109E-04  0.851307E-03
  0.320079E+00 -0.510854E-04  0.862637E-03
  0.323814E+00 -0.257224E-03  0.829534E-03
  0.327543E+00  0.449275E-03  0.821105E-03
  0.331264E+00  0.102477E-02  0.798054E-03
  0.334979E+00  0.732619E-03  0.782465E-03
  0.338687E+00  0.822228E-03  0.800714E-03
  0.342389E+00 -0.138482E-03  0.789557E-03
  0.346083E+00  0.473354E-03  0.789699E-03
  0.349771E+00  0.233439E-03  0.809400E-03
  0.353451E+00 -0.280318E-03  0.779596E-03
  0.357124E+00 -0.251321E-03  0.774218E-03
  0.360790E+00  0.116324E-03  0.786670E-03
  0.364449E+00  0.287061E-03  0.752671E-03
  0.368101E+00 -0.358672E-03  0.784034E-03
  0.371746E+00  0.278550E-03  0.801997E-03
  0.375383E+00  0.724851E-03  0.863782E-03
  0.379013E+00  0.211807E-03  0.875215E-03
  0.382635E+00 -0.605763E-03  0.876481E-03
  0.386250E+00 -0.418691E-03  0.874373E-03
  0.389858E+00 -0.940582E-03  0.933083E-03
  0.393457E+00 -0.103457E-02  0.102338E-02
  0.397050E+00 -0.114210E-03  0.978948E-03
  0.400634E+00 -0.976117E-03  0.957837E-03
  0.404211E+00 -0.580817E-03  0.988026E-03
  0.407780E+00  0.184718E-03  0.101741E-02
  0.411342E+00  0.713164E-03  0.997824E-03
  0.414895E+00  0.583840E-03  0.100877E-02
  0.418441E+00 -0.135996E-03  0.102770E-02
  0.421979E+00  0.118101E-02  0.103444E-02
  0.425509E+00  0.659180E-04  0.966666E-03
  0.429031E+00  0.239769E-02  0.997355E-03
  0.432545E+00  0.146222E-02  0.102610E-02
  0.436051E+00  0.475896E-03  0.990990E-03
  0.439549E+00  0.100942E-04  0.101869E-02
  0.443038E+00  0.237327E-04  0.103648E-02
  0.446520E+00  0.351252E-03  0.103399E-02
  0.449993E+00  0.226556E-03  0.103978E-02
  0.453458E+00  0.425166E-03  0.103590E-02
  0.456915E+00  0.221848E-03  0.104135E-02
  0.460364E+00 -0.144086E-03  0.103063E-02
  0.463804E+00 -0.647779E-03  0.104378E-02
  0.467236E+00 -0.104490E-02  0.106231E-02
  0.470660E+00 -0.122981E-03  0.105030E-02
  0.474075E+00  0.328858E-03  0.102569E-02
  0.477482E+00  0.104647E-02  0.103300E-02
  0.480880E+00  0.787063E-03  0.101921E-02
  0.484270E+00  0.761566E-03  0.107465E-02
  0.487652E+00 -0.128474E-03  0.108168E-02
  0.491024E+00 -0.471031E-03  0.105133E-02
  0.494389E+00  0.350478E-03  0.104587E-02
  0.497744E+00  0.178265E-02  0.103520E-02
  0.501091E+00 -0.560618E-04  0.105088E-02
  0.504430E+00 -0.962638E-03  0.108775E-02
  0.507760E+00 -0.747052E-03  0.108819E-02
  0.511081E+00 -0.362649E-03  0.104794E-02
  0.514393E+00 -0.437190E-03  0.104037E-02
  0.517697E+00 -0.386410E-05  0.107132E-02
  0.520992E+00 -0.109516E-02  0.104436E-02
  0.524278E+00 -0.601436E-03  0.103911E-02
  0.527556E+00 -0.453538E-03  0.113321E-02
  0.530825E+00 -0.149349E-02  0.105577E-02
  0.534084E+00 -0.137184E-02  0.105608E-02
  0.537336E+00  0.418431E-03  0.105332E-02
  0.540578E+00  0.835959E-03  0.105330E-02
  0.543811E+00 -0.740746E-03  0.110167E-02
  0.547036E+00 -0.979713E-03  0.102894E-02
  0.550251E+00 -0.603576E-03  0.110837E-02
  0.553458E+00 -0.287253E-04  0.114029E-02
  0.556656E+00  0.736904E-03  0.108024E-02
  0.559845E+00  0.279474E-03  0.112381E-02
  0.563025E+00 -0.341135E-03  0.112159E-02
  0.566196E+00 -0.694016E-03  0.108712E-02
  0.569358E+00 -0.603579E-03  0.118331E-02
  0.572511E+00 -0.574088E-03  0.127244E-02
  0.575655E+00 -0.368773E-03  0.128180E-02
  0.578791E+00  0.130770E-02  0.131825E-02
  0.581917E+00 -0.923309E-04  0.142363E-02
  0.585034E+00 -0.375309E-03  0.148077E-02
  0.588142E+00 -0.470141E-03  0.142261E-02
  0.591242E+00 -0.233597E-03  0.148955E-02
  0.594332E+00  0.765299E-03  0.156527E-02
  0.597413E+00  0.183434E-03  0.165792E-02
  0.600485E+00  0.979190E-05  0.163249E-02
  0.603548E+00 -0.128422E-03  0.182032E-02
  0.606602E+00  0.305193E-02  0.172838E-02
  0.609647E+00  0.105976E-02  0.189636E-02
  0.612683E+00  0.992380E-03  0.187459E-02
  0.615710E+00  0.362437E-03  0.185832E-02
  0.618728E+00 -0.187943E-02  0.219170E-02
  0.621737E+00 -0.524773E-03  0.249093E-02
  0.624737E+00  0.194487E-02  0.219488E-02
  0.627728E+00  0.289328E-02  0.267466E-02
  0.630710E+00 -0.156013E-02  0.311822E-02
  0.633682E+00  0.168776E-03  0.305186E-02
  0.636646E+00 -0.798711E-03  0.338988E-02
  0.639601E+00  0.299972E-02  0.465490E-02
  0.642546E+00  0.603350E-03  0.593946E-02
  0.645483E+00  0.302251E-02  0.552095E-02
----------C:\Users\emmar\Emma\analysis_BAMLET_SANS_paper_mar2015\SANS_data_merge_these_files\bamlet_80pc_sub\bamlet_80pc.dat-----------------------------
 Merge of: bamlet_80pc_ bamlet_80pc_                                            
bamlet_80pc_  Conc = .10E+01  Mult = .59E+01  N1 =   25  N2 =  180  SCALE =  1  
bamlet_80pc_  Conc = .10E+01  Mult = .10E+01  N1 =   12  N2 =  166  SCALE =  1  
----------C:\Users\emmar\Emma\analysis_BAMLET_SANS_paper_mar2015\SANS_data_merge_these_files\bamlet_80pc_sub\buffer_80pc.dat-----------------------------
 Merge of: buffer_80pc_ buffer_80pc_                                            
buffer_80pc_  Conc = .10E+01  Mult = .59E+01  N1 =   25  N2 =  180  SCALE =  1  
buffer_80pc_  Conc = .10E+01  Mult = .10E+01  N1 =   12  N2 =  166  SCALE =  1  
