 18-Sep-2016       (1.000 *bam1o20_2mg_avg - 1.012 *bam1o20_buffer_) /  1.0000
bam1o20_2mg_  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.998335E-01  0.101758E-01  0.102924E-02
  0.100565E+00  0.109395E-01  0.103427E-02
  0.101296E+00  0.944237E-02  0.103146E-02
  0.102027E+00  0.870673E-02  0.102002E-02
  0.102758E+00  0.977221E-02  0.102971E-02
  0.103490E+00  0.851465E-02  0.101054E-02
  0.104221E+00  0.820287E-02  0.961655E-03
  0.104952E+00  0.726867E-02  0.964208E-03
  0.105683E+00  0.799748E-02  0.939684E-03
  0.106414E+00  0.740503E-02  0.931568E-03
  0.107146E+00  0.710985E-02  0.947257E-03
  0.107877E+00  0.701611E-02  0.927554E-03
  0.108608E+00  0.694624E-02  0.919609E-03
  0.109339E+00  0.547736E-02  0.925623E-03
  0.110070E+00  0.530360E-02  0.899254E-03
  0.110802E+00  0.647493E-02  0.912267E-03
  0.111533E+00  0.457579E-02  0.908905E-03
  0.112264E+00  0.600729E-02  0.913185E-03
  0.112995E+00  0.516786E-02  0.899212E-03
  0.113726E+00  0.275983E-02  0.890718E-03
  0.114457E+00  0.440225E-02  0.898391E-03
  0.115189E+00  0.477099E-02  0.879691E-03
  0.115920E+00  0.469107E-02  0.888910E-03
  0.116651E+00  0.379602E-02  0.891642E-03
  0.117382E+00  0.434487E-02  0.887718E-03
  0.118113E+00  0.406889E-02  0.884103E-03
  0.118844E+00  0.523703E-02  0.879855E-03
  0.119576E+00  0.427941E-02  0.868881E-03
  0.120307E+00  0.424592E-02  0.866023E-03
  0.121038E+00  0.421167E-02  0.873752E-03
  0.121769E+00  0.392151E-02  0.879328E-03
  0.122500E+00  0.434533E-02  0.854835E-03
  0.123231E+00  0.407443E-02  0.849251E-03
  0.123962E+00  0.419469E-02  0.837064E-03
  0.124693E+00  0.450134E-02  0.833514E-03
  0.125425E+00  0.435551E-02  0.827721E-03
  0.126156E+00  0.497025E-02  0.835324E-03
  0.126887E+00  0.503193E-02  0.839373E-03
  0.127618E+00  0.499415E-02  0.842500E-03
  0.128349E+00  0.515443E-02  0.837170E-03
  0.129080E+00  0.417653E-02  0.825157E-03
  0.129811E+00  0.484109E-02  0.830928E-03
  0.130542E+00  0.546282E-02  0.806318E-03
  0.131273E+00  0.592755E-02  0.808833E-03
  0.132004E+00  0.624932E-02  0.835216E-03
  0.132735E+00  0.479714E-02  0.805660E-03
  0.133466E+00  0.572387E-02  0.809602E-03
  0.134197E+00  0.640111E-02  0.805645E-03
  0.134929E+00  0.560630E-02  0.797739E-03
