 18-Sep-2016       (1.000 *bam1o20_0p5mg_a - 1.003 *bam1o20_buffer_) /  1.0000
bam1o20_0p5m  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.998335E-01  0.356099E-02  0.101045E-02
  0.100565E+00  0.327410E-02  0.101578E-02
  0.101296E+00  0.323104E-02  0.101716E-02
  0.102027E+00  0.256471E-02  0.996856E-03
  0.102758E+00  0.396850E-02  0.100727E-02
  0.103490E+00  0.187484E-02  0.986361E-03
  0.104221E+00  0.300409E-02  0.947835E-03
  0.104952E+00  0.195807E-02  0.949142E-03
  0.105683E+00  0.309082E-02  0.928853E-03
  0.106414E+00  0.272843E-02  0.922286E-03
  0.107146E+00  0.242231E-02  0.935119E-03
  0.107877E+00  0.242340E-02  0.919690E-03
  0.108608E+00  0.314903E-02  0.910493E-03
  0.109339E+00  0.230539E-02  0.917734E-03
  0.110070E+00  0.156197E-02  0.888873E-03
  0.110802E+00  0.187656E-02  0.897969E-03
  0.111533E+00  0.104287E-02  0.898576E-03
  0.112264E+00  0.208450E-02  0.900144E-03
  0.112995E+00  0.203507E-02  0.890319E-03
  0.113726E+00 -0.591850E-05  0.879203E-03
  0.114457E+00  0.124911E-02  0.888149E-03
  0.115189E+00  0.167260E-02  0.862054E-03
  0.115920E+00  0.108074E-02  0.869890E-03
  0.116651E+00  0.690880E-03  0.876455E-03
  0.117382E+00  0.147042E-02  0.871469E-03
  0.118113E+00  0.827171E-03  0.872831E-03
  0.118844E+00  0.216361E-02  0.859991E-03
  0.119576E+00  0.939827E-03  0.857712E-03
  0.120307E+00  0.985704E-03  0.856163E-03
  0.121038E+00  0.103204E-02  0.865135E-03
  0.121769E+00  0.117613E-02  0.864652E-03
  0.122500E+00  0.749307E-03  0.843869E-03
  0.123231E+00  0.137023E-02  0.844399E-03
  0.123962E+00  0.124477E-02  0.826124E-03
  0.124693E+00  0.111798E-02  0.821368E-03
  0.125425E+00  0.104818E-02  0.816946E-03
  0.126156E+00  0.160064E-02  0.823297E-03
  0.126887E+00  0.168063E-02  0.826209E-03
  0.127618E+00  0.117654E-02  0.831807E-03
  0.128349E+00  0.866658E-03  0.822880E-03
  0.129080E+00  0.536431E-03  0.818080E-03
  0.129811E+00  0.106432E-02  0.822689E-03
  0.130542E+00  0.101433E-02  0.794619E-03
  0.131273E+00  0.217229E-02  0.797168E-03
  0.132004E+00  0.224893E-02  0.828123E-03
  0.132735E+00  0.990859E-03  0.795268E-03
  0.133466E+00  0.778392E-03  0.798003E-03
  0.134197E+00  0.180665E-02  0.792954E-03
  0.134929E+00  0.178840E-02  0.785107E-03
  0.135660E+00  0.193373E-02  0.783687E-03
  0.136391E+00  0.133145E-02  0.778920E-03
  0.137122E+00  0.189771E-02  0.757677E-03
