# Inter-subunit 1-2 composite scattering function
#     q           I(q)         sigma(I(q))
   0.01026     1.70166E-02     4.43654E+02
   0.01134     1.68161E-02     3.02009E+01
   0.01241     1.71631E-02     3.70648E+02
   0.01349     1.67866E-02     2.84115E+02
   0.01457     1.69591E-02     1.49503E+03
   0.01565     1.65837E-02     1.09243E+03
   0.01673     1.62439E-02     2.86733E+02
   0.01781     1.66988E-02     2.58385E+03
   0.01889     1.68081E-02     7.23678E+02
   0.01997     1.68154E-02     1.40456E+03
   0.02105     1.54982E-02     9.37029E+02
   0.02213     1.55115E-02     1.13146E+03
   0.02321     1.56611E-02     9.85329E+02
   0.02429     1.49248E-02     4.42195E+03
   0.02536     1.52893E-02     2.54024E+02
   0.02644     1.48737E-02     1.26798E+03
   0.02752     1.50440E-02     4.71350E+03
   0.02860     1.44897E-02     4.16532E+03
   0.02968     1.43541E-02     1.06043E+03
   0.03076     1.40507E-02     1.02190E+03
   0.03184     1.43979E-02     8.67215E+02
   0.03292     1.34870E-02     1.02833E+03
   0.03399     1.26016E-02     7.02829E+02
   0.03507     1.25118E-02     8.55820E+03
   0.03615     1.18206E-02     3.48946E+03
   0.03723     1.18663E-02     2.09583E+03
   0.03831     1.18455E-02     3.56693E+03
   0.03939     1.09167E-02     3.00599E+03
   0.04046     1.10699E-02     1.39369E+03
   0.04154     1.09111E-02     3.36881E+03
   0.04259     1.02629E-02     3.92218E+03
   0.04262     1.04107E-02     4.93194E+03
   0.04370     9.87337E-03     4.83165E+02
   0.04477     9.30687E-03     2.08734E+03
   0.04585     8.81777E-03     9.00470E+03
   0.04664     8.71559E-03     3.38581E+03
   0.04693     8.49866E-03     5.51050E+02
   0.04801     8.89886E-03     5.43181E+03
   0.04908     8.12986E-03     1.42605E+03
   0.05016     8.57006E-03     3.94448E+03
   0.05069     7.67293E-03     1.19254E+03
   0.05124     7.66522E-03     5.84539E+02
   0.05231     7.10958E-03     4.12850E+03
   0.05339     6.88742E-03     3.71873E+03
   0.05447     6.27548E-03     2.18862E+03
   0.05474     6.36694E-03     2.55952E+03
   0.05554     6.48898E-03     2.55511E+03
   0.05662     5.84593E-03     1.48140E+03
   0.05770     5.79882E-03     4.56178E+03
   0.05877     6.00339E-03     1.65346E+03
   0.05878     5.61044E-03     4.04658E+02
   0.05985     5.33613E-03     1.12638E+04
   0.06092     5.35384E-03     2.76851E+03
   0.06200     4.46870E-03     2.78363E+03
   0.06283     4.63202E-03     1.87920E+03
   0.06307     4.14816E-03     4.58267E+03
   0.06415     4.40636E-03     5.20477E+03
   0.06523     4.12944E-03     6.09746E+03
   0.06630     3.82243E-03     4.65992E+03
   0.06687     3.49494E-03     6.13978E+03
   0.06738     3.65301E-03     2.56365E+03
   0.06845     2.95262E-03     2.57268E+03
   0.06952     2.96830E-03     1.71180E+03
   0.07060     2.35891E-03     7.45258E+03
   0.07091     2.69985E-03     5.82232E+03
   0.07167     2.63651E-03     2.92421E+03
   0.07275     2.29511E-03     2.15873E+03
   0.07382     2.59972E-03     3.03133E+03
   0.07490     2.38585E-03     2.04016E+03
   0.07495     2.00908E-03     2.18911E+04
   0.07597     2.27884E-03     1.97907E+03
   0.07704     1.86941E-03     3.12320E+03
   0.07812     1.56897E-03     5.41734E+02
   0.07898     1.49381E-03     3.62099E+03
   0.08302     9.89172E-04     2.06977E+03
   0.08705     5.84221E-04     1.79816E+04
   0.09107     2.79194E-04     3.71628E+04
   0.09510    -5.22466E-05     4.98520E+04
   0.09912    -3.25327E-04     5.50843E+04
   0.10310    -5.37264E-04     2.49056E+04
   0.10720    -3.31900E-04     9.39219E+03
   0.11120    -3.31202E-04     1.20004E+04
   0.11520    -4.50625E-04     1.40830E+04
   0.11920    -3.20641E-04     2.00241E+04
   0.12320    -3.02414E-04     2.50302E+04
   0.12720    -5.25499E-05     4.98019E+04
   0.13120    -2.19588E-04     8.01144E+03
   0.13520    -1.12517E-04     3.28136E+04
   0.13910    -1.04032E-04     1.03141E+04
   0.14310    -9.57809E-05     3.11177E+04
   0.14710    -2.31306E-04     2.67836E+04
   0.15110    -3.54602E-04     2.23992E+04
   0.15500    -2.26461E-05     1.03733E+04
   0.15900    -7.89344E-05     2.68126E+04
   0.16300    -1.20286E-04     2.84309E+04
   0.16690     7.74221E-05     1.93775E+04
   0.17090    -9.25232E-05     2.10143E+04
   0.17480    -2.85064E-05     1.06382E+04
   0.17870    -1.80019E-04     3.01201E+04
   0.18270    -1.73791E-05     6.79215E+03
   0.18660    -1.05991E-04     7.91268E+03
   0.19050    -1.08880E-04     8.62662E+03
   0.19440    -1.99943E-05     8.66452E+03
   0.19830    -1.07153E-04     4.33040E+04
   0.20230    -2.11073E-04     1.83194E+04
   0.20610    -6.45640E-05     1.63941E+04
   0.21000    -2.11141E-04     3.18419E+04
   0.21390    -1.07408E-04     2.51172E+03
   0.21780    -2.46687E-04     1.61994E+04
   0.22170    -6.11796E-05     9.97722E+04
   0.22550     1.27829E-04     5.28494E+04
   0.22940    -9.13891E-05     1.95233E+04
   0.23330    -6.45200E-05     3.44150E+04
   0.23710     2.46082E-06     1.74128E+04
   0.24090     1.19722E-04     9.02011E+04
   0.24480    -1.11641E-06     1.99125E+04
   0.24860    -1.22076E-04     1.02803E+04
   0.25240    -1.84355E-04     1.22386E+04
   0.25620    -8.52125E-05     3.53543E+04
   0.26000     2.39004E-05     7.94448E+04
   0.26380     2.29762E-04     1.40976E+04
   0.26760     3.29895E-05     1.10494E+04
   0.27140     1.88512E-04     6.91890E+04
   0.27520     1.31460E-04     1.28168E+05
   0.27890     5.62139E-05     1.32486E+04
   0.28270    -6.47440E-05     5.54944E+04
   0.28640     1.79603E-05     3.04425E+04
   0.29020     1.61274E-04     3.20523E+04
   0.29390     1.82741E-04     5.65008E+03
   0.29760     6.81504E-05     2.68154E+04
   0.30130    -1.13137E-04     2.60004E+04
   0.30500     2.30528E-04     4.87124E+03
   0.30870     6.31330E-05     2.73959E+04
   0.31240     1.51858E-04     2.93017E+04
   0.31610     1.75980E-04     1.69567E+04
   0.31980     1.65197E-04     2.08751E+04
   0.32350     1.64355E-04     1.85157E+04
   0.32710     2.02651E-04     5.67251E+04
   0.33080     2.38680E-04     4.17386E+04
   0.33440     1.17447E-04     1.14622E+04
   0.33800     7.52518E-05     1.42330E+04
   0.34160     2.56719E-05     3.05780E+04
   0.34530     2.60338E-04     3.82864E+04
   0.34890     2.08299E-04     8.62076E+03
   0.35250    -4.57416E-05     4.92569E+04
   0.35600     1.42518E-04     3.73889E+04
   0.35960    -6.11942E-05     3.19682E+04
   0.36320    -5.99247E-05     5.96865E+03
   0.36670    -9.23922E-06     3.95441E+04
   0.37030     1.90806E-04     6.24467E+03
   0.37380     3.22633E-04     3.31693E+04
   0.37730     2.15810E-04     6.69474E+03
   0.38090    -6.63608E-05     1.61014E+04
   0.38440     1.10277E-04     2.74644E+04
   0.38790     2.17218E-05     2.96272E+04
   0.39140    -1.28572E-04     2.17125E+04
   0.39480     1.51479E-04     7.34411E+03
   0.39830     8.35689E-05     5.76851E+03
   0.40180     5.69084E-05     1.58322E+04
   0.40520    -1.32618E-04     2.39768E+04
   0.40870     2.13341E-04     5.05727E+04
   0.41210     9.07621E-05     4.27388E+04
   0.41550     1.39930E-04     6.21522E+04
   0.41890     5.22728E-05     2.30862E+04
   0.42230     2.83505E-04     3.27613E+04
   0.42570     1.55683E-04     1.19556E+04
   0.42910     1.47115E-04     3.66562E+04
   0.43250    -5.01242E-05     9.39354E+03
   0.43580    -2.06981E-04     1.05396E+04
   0.43920    -4.73800E-05     9.10039E+03
   0.44250     1.96010E-04     5.58956E+03
   0.44580     3.23194E-04     2.63512E+04
   0.44910     1.96055E-04     3.34222E+03
   0.45250     2.84980E-04     1.06589E+04
   0.45570    -3.57539E-04     5.99589E+03
   0.45900     2.38504E-05     9.15731E+03
   0.46230    -2.01667E-04     9.73051E+03
   0.46560     3.37487E-04     6.50970E+03
   0.46880    -2.40768E-04     6.93633E+03
   0.47210     5.39166E-04     5.15083E+02
   0.47530    -6.35419E-05     1.19360E+03
   0.47850     2.02280E-04     2.24247E+04
