# Subunit-2 composite scattering function
#     q           I(q)         sigma(I(q))
   0.01026     2.15253E-03     7.69604E+02
   0.01134     1.99159E-03     5.12986E+01
   0.01241     1.94253E-03     6.65827E+02
   0.01349     1.94919E-03     4.98128E+02
   0.01457     1.82758E-03     2.59504E+03
   0.01565     2.03358E-03     1.82614E+03
   0.01673     2.04462E-03     5.15925E+02
   0.01781     1.91300E-03     4.37479E+03
   0.01889     1.77858E-03     1.18883E+03
   0.01997     1.74756E-03     2.39710E+03
   0.02105     1.93384E-03     1.67850E+03
   0.02213     1.76657E-03     2.02623E+03
   0.02321     1.75130E-03     1.78844E+03
   0.02429     1.80519E-03     7.96980E+03
   0.02536     1.71304E-03     4.71266E+02
   0.02644     1.72644E-03     2.26739E+03
   0.02752     1.70680E-03     8.71587E+03
   0.02860     1.81758E-03     7.64628E+03
   0.02968     1.62672E-03     2.01640E+03
   0.03076     1.60067E-03     1.92830E+03
   0.03184     1.48437E-03     1.61207E+03
   0.03292     1.71759E-03     1.92874E+03
   0.03399     1.55838E-03     1.37913E+03
   0.03507     1.68445E-03     1.64473E+04
   0.03615     1.63945E-03     6.77787E+03
   0.03723     1.46586E-03     4.04717E+03
   0.03831     1.53502E-03     6.97683E+03
   0.03939     1.63580E-03     5.87089E+03
   0.04046     1.45864E-03     2.68413E+03
   0.04154     1.44932E-03     6.56512E+03
   0.04259     1.39650E-03     9.82398E+03
   0.04262     1.41110E-03     9.57514E+03
   0.04370     1.46579E-03     9.49270E+02
   0.04477     1.34690E-03     4.11486E+03
   0.04585     1.40300E-03     1.75141E+04
   0.04664     1.31643E-03     7.58220E+03
   0.04693     1.35090E-03     1.11499E+03
   0.04801     1.22457E-03     1.10910E+04
   0.04908     1.23669E-03     2.85633E+03
   0.05016     1.13384E-03     7.81235E+03
   0.05069     1.22381E-03     2.70823E+03
   0.05124     1.25356E-03     1.15718E+03
   0.05231     1.17887E-03     8.40688E+03
   0.05339     1.14187E-03     7.75249E+03
   0.05447     1.24551E-03     4.39455E+03
   0.05474     1.13201E-03     6.15905E+03
   0.05554     1.10334E-03     5.50608E+03
   0.05662     1.12553E-03     3.07070E+03
   0.05770     1.03673E-03     9.25119E+03
   0.05877     9.17232E-04     3.39759E+03
   0.05878     1.00273E-03     1.00402E+03
   0.05985     1.04457E-03     2.31762E+04
   0.06092     9.29172E-04     5.53029E+03
   0.06200     9.76664E-04     5.72716E+03
   0.06283     9.20429E-04     4.70243E+03
   0.06307     8.87575E-04     9.77232E+03
   0.06415     9.04212E-04     1.12133E+04
   0.06523     8.57930E-04     1.30801E+04
   0.06630     7.77507E-04     9.73510E+03
   0.06687     8.81572E-04     1.47902E+04
   0.06738     8.79760E-04     5.42939E+03
   0.06845     8.10335E-04     5.56649E+03
   0.06952     7.65612E-04     3.65859E+03
   0.07060     7.90910E-04     1.59086E+04
   0.07091     7.58473E-04     1.56361E+04
   0.07167     6.64370E-04     6.48442E+03
   0.07275     7.90163E-04     4.79387E+03
   0.07382     7.49037E-04     6.84610E+03
   0.07490     6.36992E-04     4.57642E+03
   0.07495     6.46167E-04     4.17344E+03
