# Subunit-2 composite scattering function
#     q           I(q)         sigma(I(q))
   0.07597     6.49189E-04     4.60010E+03
   0.07704     6.46029E-04     6.81666E+03
   0.07812     7.17570E-04     1.14955E+03
   0.07898     5.88465E-04     9.80320E+03
   0.08302     5.87127E-04     3.88228E+02
   0.08705     5.11673E-04     3.41782E+03
   0.09107     5.10516E-04     7.00055E+03
   0.09510     4.29783E-04     9.58471E+03
   0.09912     4.28403E-04     1.06680E+04
   0.10310     4.59128E-04     4.81184E+03
   0.10720     4.00465E-04     1.76007E+03
   0.11120     3.91551E-04     2.33262E+03
   0.11520     3.73969E-04     2.70825E+03
   0.11920     3.79186E-04     1.43749E+04
   0.12320     3.78211E-04     1.87086E+04
   0.12720     3.51819E-04     9.61018E+03
   0.13120     3.47238E-04     5.47230E+03
   0.13520     3.43963E-04     6.38531E+03
   0.13910     3.50644E-04     7.94520E+03
   0.14310     3.09124E-04     2.18899E+04
   0.14710     3.37164E-04     1.87792E+04
   0.15110     3.39071E-04     1.65753E+04
   0.15500     2.91963E-04     7.33764E+03
   0.15900     2.74818E-04     1.93595E+04
   0.16300     2.77431E-04     1.89458E+04
   0.16690     2.74064E-04     1.33454E+04
   0.17090     2.53627E-04     1.51189E+04
   0.17480     2.37259E-04     7.63143E+03
   0.17870     2.29113E-04     2.17563E+04
   0.18270     1.97674E-04     5.21025E+03
   0.18660     1.60135E-04     6.44126E+03
   0.19050     1.83400E-04     6.42717E+03
   0.19440     1.63795E-04     7.22687E+03
   0.19830     1.70878E-04     3.42863E+04
   0.20230     1.76788E-04     1.46142E+04
   0.20610     1.12739E-04     1.23411E+04
   0.21000     1.55268E-04     2.29089E+04
   0.21390     1.07907E-04     2.09869E+03
   0.21780     1.21010E-04     1.23346E+04
   0.22170     7.86778E-05     7.34110E+04
   0.22550     7.54833E-05     4.05134E+04
   0.22940     1.06876E-04     1.54153E+04
   0.23330     5.27445E-05     2.39889E+04
   0.23710     5.92783E-05     1.28963E+04
   0.24090     1.52894E-05     6.81093E+04
   0.24480     2.93091E-06     1.50679E+04
   0.24860     3.71698E-05     8.08106E+03
   0.25240     5.16233E-05     9.34681E+03
   0.25620     1.10013E-05     2.63556E+04
   0.26000     1.81427E-05     6.10394E+04
   0.26380    -5.29991E-05     1.12780E+04
   0.26760    -1.43811E-05     8.03263E+03
   0.27140    -2.46046E-05     5.19812E+04
   0.27520    -2.98088E-06     9.67241E+04
   0.27890     2.26340E-05     9.60691E+03
   0.28270     1.67259E-05     4.17636E+04
   0.28640     2.89885E-06     2.31855E+04
   0.29020    -2.89617E-05     2.56153E+04
   0.29390    -4.51082E-05     4.52881E+03
   0.29760    -3.36031E-05     1.92077E+04
   0.30130    -7.79587E-06     1.99859E+04
   0.30500    -4.08686E-05     3.67565E+03
   0.30870    -2.45266E-05     2.04498E+04
   0.31240    -5.54593E-05     2.25988E+04
   0.31610    -4.59263E-05     1.24673E+04
   0.31980    -5.21227E-05     1.67095E+04
   0.32350    -5.75603E-05     1.33944E+04
   0.32710    -2.61267E-05     3.86724E+04
   0.33080    -7.15214E-05     3.36061E+04
   0.33440    -1.39494E-05     7.87847E+03
   0.33800    -1.69910E-05     1.12810E+04
   0.34160     1.22825E-05     2.44567E+04
   0.34530    -4.62844E-05     2.95073E+04
   0.34890    -2.87704E-05     7.09843E+03
   0.35250     7.21705E-06     3.49198E+04
   0.35600    -1.29631E-05     2.91951E+04
   0.35960    -9.07563E-06     2.45283E+04
   0.36320     1.66612E-05     4.62530E+03
   0.36670    -2.03343E-05     2.96717E+04
   0.37030    -2.00321E-05     4.80982E+03
   0.37380    -4.88776E-05     2.33814E+04
   0.37730    -4.30114E-05     5.32496E+03
   0.38090    -4.27143E-05     1.13396E+04
   0.38440    -3.97732E-05     2.24735E+04
   0.38790    -1.50742E-05     2.24386E+04
   0.39140     9.18849E-06     1.73223E+04
   0.39480     2.49943E-09     5.80469E+03
   0.39830    -6.30351E-06     4.54254E+03
   0.40180    -3.20733E-05     1.18637E+04
   0.40520     1.88699E-06     1.79613E+04
   0.40870    -3.45553E-05     4.01038E+04
   0.41210     2.81332E-06     3.02122E+04
   0.41550    -3.74227E-05     4.41879E+04
   0.41890    -3.58684E-05     1.57957E+04
   0.42230    -6.30475E-05     2.54215E+04
   0.42570    -1.65084E-05     8.76910E+03
   0.42910    -1.97547E-05     2.76493E+04
   0.43250    -3.90119E-06     7.01225E+03
   0.43580     3.00402E-05     7.26802E+03
   0.43920    -2.48898E-05     1.76296E+03
   0.44250    -5.20780E-05     4.19418E+03
   0.44580    -6.11523E-05     2.15087E+04
   0.44910    -9.18991E-05     2.41252E+03
   0.45250    -6.19632E-05     7.48304E+03
   0.45570    -5.36499E-06     4.63698E+03
   0.45900    -2.39755E-05     1.78215E+03
   0.46230     5.76854E-06     7.00108E+03
   0.46560    -1.37105E-04     1.27959E+03
   0.46880     3.35364E-06     6.28027E+03
   0.47210    -8.89171E-05     1.58138E+03
   0.47530     7.06575E-05     9.01272E+02
   0.47850    -3.80744E-05     1.87649E+04
