# Subunit-1 composite scattering function
#     q           I(q)         sigma(I(q))
   0.17870     1.11068E-03     5.96508E+03
   0.18270     1.09294E-03     1.37462E+03
   0.18660     9.97853E-04     1.58906E+03
   0.19050     9.23744E-04     1.73106E+03
   0.19440     8.81488E-04     1.74554E+03
   0.19830     7.78895E-04     8.67641E+03
   0.20230     7.11723E-04     3.70110E+03
   0.20610     6.94246E-04     3.23749E+03
   0.21000     5.82068E-04     6.19924E+03
   0.21390     5.68077E-04     5.02212E+02
   0.21780     5.23345E-04     3.23783E+03
   0.22170     4.26493E-04     1.96711E+04
   0.22550     5.31372E-04     1.02638E+04
   0.22940     3.66640E-04     3.84391E+03
   0.23330     3.86073E-04     6.75565E+03
   0.23710     4.02297E-04     3.42601E+03
   0.24090     3.36602E-04     1.78601E+04
   0.24480     2.61886E-04     4.02052E+03
   0.24860     1.48811E-04     2.03588E+03
   0.25240     2.03209E-04     2.40314E+03
   0.25620     2.09408E-04     6.94532E+03
   0.26000     2.11843E-04     1.58807E+04
   0.26380     2.32354E-04     2.75480E+03
   0.26760     1.41762E-04     2.15528E+03
   0.27140     1.31372E-04     1.36438E+04
   0.27520     1.28943E-04     2.56339E+04
   0.27890     9.47006E-05     2.62277E+03
   0.28270     6.30177E-05     1.09177E+04
   0.28640     6.29186E-05     5.98954E+03
   0.29020     7.06204E-05     6.39230E+03
   0.29390     1.02182E-04     1.13500E+03
   0.29760     9.33011E-05     5.46783E+03
   0.30130     3.13238E-05     5.26403E+03
   0.30500     5.66001E-05     9.71720E+02
   0.30870     2.04067E-05     5.39047E+03
   0.31240     4.97164E-05     5.73568E+03
   0.31610    -3.89487E-05     3.29176E+03
   0.31980     8.16560E-05     4.16234E+03
   0.32350     4.90889E-05     3.57276E+03
   0.32710    -6.64772E-06     1.11666E+04
   0.33080     5.70908E-05     8.26914E+03
   0.33440     6.08119E-06     2.24111E+03
   0.33800     2.80389E-05     2.79269E+03
   0.34160     1.06126E-06     6.09268E+03
   0.34530     4.89913E-05     7.69815E+03
   0.34890     2.51109E-06     1.72387E+03
   0.35250    -8.26012E-05     9.66941E+03
   0.35600    -3.75343E-06     7.33596E+03
   0.35960    -4.92625E-05     6.29529E+03
   0.36320    -2.15613E-05     1.18705E+03
   0.36670    -2.22229E-05     7.90633E+03
   0.37030     8.00397E-05     1.25039E+03
   0.37380    -3.55554E-05     6.47444E+03
   0.37730     1.75620E-05     1.35155E+03
   0.38090    -5.42137E-05     3.12770E+03
   0.38440     1.55913E-05     5.49873E+03
   0.38790    -5.33846E-05     5.84671E+03
   0.39140    -7.89823E-05     4.40455E+03
   0.39480    -5.19040E-05     1.47426E+03
   0.39830    -2.55561E-05     1.18529E+03
   0.40180    -8.05056E-05     3.10423E+03
   0.40520    -1.95925E-05     4.75437E+03
   0.40870    -1.29072E-05     1.01124E+04
   0.41210     5.13241E-06     8.37785E+03
   0.41550    -4.71463E-05     1.21946E+04
   0.41890    -1.42254E-05     4.53044E+03
   0.42230     4.88563E-05     6.52056E+03
   0.42570    -3.01792E-05     2.31092E+03
   0.42910     3.39088E-06     7.23453E+03
   0.43250     3.16732E-05     1.79409E+03
   0.43580    -8.95278E-05     2.07914E+03
   0.43920    -5.10848E-05     5.81567E+03
   0.44250     1.23408E-05     1.14317E+03
   0.44580     4.91158E-05     5.44029E+03
   0.44910    -1.00218E-06     6.56856E+02
   0.45250     1.15874E-04     2.08384E+03
   0.45570     3.83280E-05     1.21790E+03
   0.45900     1.06504E-04     5.83011E+03
   0.46230     2.01848E-05     1.90189E+03
   0.46560    -2.20283E-05     4.19006E+03
   0.46880    -2.26546E-04     1.28026E+03
   0.47210     8.46224E-06     2.69264E+03
   0.47530    -5.50038E-05     2.28621E+02
   0.47850    -7.06925E-04     4.58526E+03
