# Subunit-1 composite scattering function
#     q           I(q)         sigma(I(q))
   0.01026     4.10247E-02     2.48116E+03
   0.01134     4.07716E-02     1.72430E+02
   0.01241     4.07072E-02     2.09149E+03
   0.01349     3.97879E-02     1.59753E+03
   0.01457     4.02418E-02     8.36458E+03
   0.01565     4.01876E-02     6.09168E+03
   0.01673     3.95599E-02     1.59714E+03
   0.01781     3.93552E-02     1.44909E+04
   0.01889     3.87860E-02     4.03244E+03
   0.01997     3.82373E-02     7.86230E+03
   0.02105     3.82037E-02     5.22520E+03
   0.02213     3.76613E-02     6.33256E+03
   0.02321     3.70581E-02     5.43241E+03
   0.02429     3.67778E-02     2.47785E+04
   0.02536     3.65229E-02     1.39683E+03
   0.02644     3.59272E-02     6.96925E+03
   0.02752     3.61494E-02     2.63821E+04
   0.02860     3.55174E-02     2.31537E+04
   0.02968     3.51168E-02     5.87943E+03
   0.03076     3.44510E-02     5.67408E+03
   0.03184     3.44389E-02     4.93277E+03
   0.03292     3.34150E-02     5.79468E+03
   0.03399     3.28863E-02     3.88466E+03
   0.03507     3.27828E-02     4.73363E+04
   0.03615     3.20887E-02     1.90105E+04
   0.03723     3.14446E-02     1.15918E+04
   0.03831     3.09838E-02     1.98134E+04
   0.03939     3.03049E-02     1.66022E+04
   0.04046     2.99199E-02     7.69358E+03
   0.04154     2.91142E-02     1.86605E+04
   0.04259     2.87092E-02     2.13942E+04
   0.04262     2.88084E-02     2.77321E+04
   0.04370     2.81697E-02     2.70216E+03
   0.04477     2.75677E-02     1.15937E+04
   0.04585     2.71293E-02     5.04045E+04
   0.04664     2.66027E-02     1.88616E+04
   0.04693     2.64387E-02     3.04834E+03
   0.04801     2.61021E-02     2.99384E+04
   0.04908     2.52566E-02     7.91295E+03
   0.05016     2.49257E-02     2.18783E+04
   0.05069     2.46311E-02     6.76741E+03
   0.05124     2.43197E-02     3.21861E+03
   0.05231     2.37849E-02     2.27381E+04
   0.05339     2.31383E-02     2.05889E+04
   0.05447     2.25245E-02     1.20642E+04
   0.05474     2.22999E-02     1.39390E+04
   0.05554     2.19967E-02     1.40306E+04
   0.05662     2.12689E-02     8.16733E+03
   0.05770     2.08614E-02     2.51914E+04
   0.05877     2.05926E-02     9.09877E+03
   0.05878     2.03865E-02     2.18209E+03
   0.05985     1.97509E-02     6.20738E+04
   0.06092     1.95180E-02     1.53166E+04
   0.06200     1.87186E-02     1.52295E+04
   0.06283     1.83613E-02     1.00094E+04
   0.06307     1.82273E-02     2.50074E+04
   0.06415     1.77590E-02     2.84886E+04
   0.06523     1.73402E-02     3.31512E+04
   0.06630     1.66722E-02     2.57801E+04
   0.06687     1.64026E-02     3.35382E+04
   0.06738     1.61635E-02     1.39746E+04
   0.06845     1.56442E-02     1.42254E+04
   0.06952     1.51598E-02     9.43090E+03
   0.07060     1.48119E-02     4.08717E+04
   0.07091     1.46241E-02     3.11693E+04
   0.07167     1.43629E-02     1.59393E+04
   0.07275     1.38413E-02     1.18528E+04
   0.07382     1.33345E-02     1.65233E+04
   0.07490     1.29092E-02     1.10630E+04
   0.07495     1.30938E-02     1.17531E+04
   0.07597     1.26358E-02     1.07796E+04
   0.07704     1.19534E-02     1.69041E+04
   0.07812     1.17014E-02     2.96759E+03
   0.07898     1.16585E-02     1.91415E+04
   0.08302     1.02408E-02     1.15343E+03
   0.08705     9.00700E-03     1.01917E+04
   0.09107     7.87196E-03     2.03774E+04
   0.09510     6.95701E-03     3.02304E+04
   0.09912     6.06260E-03     3.54461E+04
   0.10310     5.50326E-03     1.62248E+04
   0.10720     4.92627E-03     5.63303E+03
   0.11120     4.32507E-03     7.40801E+03
   0.11520     3.91113E-03     9.10463E+03
   0.11920     3.52910E-03     3.95975E+03
   0.12320     3.19009E-03     5.09322E+03
   0.12720     2.98995E-03     3.30968E+04
   0.13120     2.78790E-03     1.54930E+03
   0.13520     2.54470E-03     2.08041E+04
   0.13910     2.29518E-03     2.06243E+03
   0.14310     2.16514E-03     6.07298E+03
   0.14710     2.03901E-03     5.26214E+03
   0.15110     1.90912E-03     4.39443E+03
   0.15500     1.78874E-03     2.02560E+03
   0.15900     1.68647E-03     5.29219E+03
   0.16300     1.54016E-03     5.58877E+03
   0.16690     1.43680E-03     3.87019E+03
   0.17090     1.30053E-03     4.10820E+03
   0.17480     1.23174E-03     2.08558E+03
