# Inter-subunit 2-3 composite scattering function
#     q           I(q)         sigma(I(q))
   0.01026     1.82944E-02     3.81968E-13
   0.01134     1.80977E-02     7.94247E-14
   0.01889     1.77714E-02     4.04631E-13
   0.02644     1.59818E-02     3.51047E-14
   0.02968     1.55577E-02     8.98909E-13
   0.03507     1.36872E-02     2.71215E-13
   0.03615     1.34558E-02     1.53228E-12
   0.03723     1.33095E-02     9.37017E-13
   0.03831     1.29295E-02     6.98468E-13
   0.03939     1.25759E-02     2.23144E-12
   0.04154     1.22337E-02     7.90820E-14
   0.04262     1.19054E-02     2.63274E-13
   0.04664     1.05019E-02     1.01485E-12
   0.05124     9.30010E-03     3.60771E-12
   0.05339     8.49668E-03     7.89631E-13
   0.05770     7.36750E-03     3.10871E-12
   0.05877     7.76902E-03     5.36419E-12
   0.05878     7.58333E-03     4.04128E-12
   0.06200     6.29077E-03     1.49787E-12
   0.06415     5.89626E-03     1.26438E-12
   0.07091     4.67277E-03     1.70084E-12
   0.07495     3.91128E-03     7.64596E-12
   0.07597     3.72104E-03     7.85384E-14
   0.07898     3.27897E-03     1.06836E-11
   0.08302     2.79376E-03     6.40674E-13
   0.09107     1.79167E-03     1.49420E-12
   0.09912     1.06097E-03     8.64432E-12
   0.10720     8.90463E-04     1.04299E-11
   0.11120     7.79176E-04     2.29173E-11
   0.11520     6.00982E-04     7.52787E-12
   0.12320     5.28197E-04     1.29368E-12
   0.14710     2.92647E-04     1.39559E-12
   0.17480     2.44373E-04     7.32853E-12
   0.18270     2.87635E-04     2.82034E-12
   0.18660     2.22673E-04     1.18567E-11
   0.20610     1.87995E-04     1.34124E-12
   0.21000     8.85725E-06     9.18282E-12
   0.22170     1.95512E-04     5.28701E-12
   0.22550     2.75441E-04     1.19358E-12
   0.22940     7.99589E-05     3.77583E-13
   0.23330     1.34580E-04     6.69984E-13
   0.23710     1.11490E-04     3.76439E-12
   0.24480     4.31280E-05     1.60650E-13
   0.25240    -2.53917E-05     3.28362E-13
   0.25620     7.10838E-05     4.48998E-12
   0.26000     1.50309E-04     7.78148E-13
   0.26380     1.97942E-04     5.72405E-13
   0.28270    -1.29343E-05     3.84100E-12
   0.28640     1.09168E-04     1.87761E-12
   0.29390     9.93672E-05     9.45380E-13
   0.29760     1.39460E-04     9.04379E-13
   0.30130     2.80135E-05     4.61462E-15
   0.31610     1.22834E-04     1.58734E-13
   0.31980     1.69593E-04     7.80295E-13
   0.32350     1.50826E-04     2.90092E-13
   0.34160     9.48894E-05     1.07537E-12
   0.34890     1.60657E-04     8.25802E-14
   0.36670     1.05502E-04     1.23218E-12
   0.38440     1.41802E-04     4.60229E-13
   0.39830     6.00191E-05     2.05582E-13
   0.41550     7.84430E-05     2.60768E-13
   0.42230     2.36285E-04     3.83558E-13
   0.42910     1.10978E-04     2.23446E-12
   0.44580     3.37683E-04     6.30987E-13
   0.45570    -2.76718E-04     1.89534E-13
   0.46230    -1.03994E-04     3.52192E-14
   0.46560     2.76668E-04     2.25859E-13
   0.46880    -2.73641E-04     1.20617E-13
   0.47210     2.86069E-04     1.90279E-13
   0.47530    -6.66559E-05     5.12250E-14
   0.47850    -5.09445E-04     3.21029E-12
